OrderID,OrderDate,Year,Month,Quarter,Season,CustomerID,Gender,Segment,Region,Country,Category,Sub_Category,ProductName,Unit_Price,Quantity,Discount,Revenue,Cost,Profit,Profit_Margin_%,Shipping_Cost,Shipping_Method,Shipping_Days,Payment_Method,Order_Status
ORD-000041,3/10/2024,2024,3,Q1,Spring,CUST-03640,Male,Regular,Asia,South Korea,Beauty & Health,Skincare,Hyaluronic Acid,87,3,10%,236,166,69,29.47,9,Economy,18,Debit Card,Returned
ORD-000042,12/4/2022,2022,12,Q4,Winter,CUST-07535,Female,Premium,Asia,Japan,Clothing,Women's Wear,Yoga Pants,99,1,20%,79,54,25,31.14,35,Express,21,Debit Card,Cancelled
ORD-000043,11/13/2022,2022,11,Q4,Fall,CUST-04671,Male,Regular,Asia,South Korea,Home & Kitchen,Kitchen Tools,Non-stick Pan Set,85,1,5%,81,40,40,49.93,41,Express,25,Debit Card,Delivered
ORD-000044,11/11/2023,2023,11,Q4,Fall,CUST-03219,Female,Regular,Middle East,Jordan,Beauty & Health,Skincare,Sunscreen SPF50,63,3,15%,161,112,49,30.36,68,Overnight,14,PayPal,Delivered
ORD-000045,4/6/2024,2024,4,Q2,Spring,CUST-03426,Male,Premium,Asia,Japan,Clothing,Women's Wear,Summer Dress,116,2,0%,232,118,114,49.25,99,Overnight,16,PayPal,Delivered
ORD-000046,2/27/2022,2022,2,Q1,Winter,CUST-03329,Female,VIP,Europe,Italy,Electronics,Laptops,HP Spectre x360,686,3,0%,2059,1269,791,38.4,18,Standard,14,Apple Pay,Delivered
ORD-000047,12/5/2023,2023,12,Q4,Winter,CUST-02242,Male,New,North America,Canada,Clothing,Men's Wear,Formal Shirt,114,2,25%,171,110,61,35.44,3,Economy,3,Debit Card,Delivered
ORD-000048,12/14/2023,2023,12,Q4,Winter,CUST-03435,Female,Regular,Europe,Spain,Clothing,Men's Wear,Chino Pants,95,2,40%,114,120,-6,-4.81,6,Economy,12,Google Pay,Cancelled
ORD-000049,6/3/2023,2023,6,Q2,Summer,CUST-01021,Female,VIP,Europe,Germany,Electronics,Smartphones,Samsung Galaxy S23,863,2,10%,1553,1119,435,27.99,37,Express,7,Bank Transfer,Cancelled
ORD-000050,7/14/2021,2021,7,Q3,Summer,CUST-04482,Male,New,Asia,India,Beauty & Health,Supplements,Whey Protein 2kg,30,1,10%,27,20,7,26.58,48,Express,16,PayPal,Processing
ORD-000051,8/5/2021,2021,8,Q3,Summer,CUST-06732,Female,Regular,Middle East,Jordan,Clothing,Women's Wear,High-Waist Jeans,27,3,0%,82,57,26,31.22,12,Standard,11,Google Pay,Returned
ORD-000052,11/16/2022,2022,11,Q4,Fall,CUST-07848,Male,Regular,Middle East,UAE,Beauty & Health,Supplements,Whey Protein 2kg,54,2,20%,86,72,14,16.21,8,Standard,17,Google Pay,Delivered
ORD-000053,5/1/2024,2024,5,Q2,Spring,CUST-03730,Female,Regular,Asia,South Korea,Clothing,Women's Wear,Yoga Pants,104,1,10%,94,52,41,43.95,12,Standard,23,Cash on Delivery,Delivered
ORD-000054,2/22/2023,2023,2,Q1,Winter,CUST-01949,Female,New,North America,Canada,Home & Kitchen,Furniture,TV Stand,230,4,20%,736,638,97,13.24,10,Standard,8,Cash on Delivery,Delivered
ORD-000055,8/8/2022,2022,8,Q3,Summer,CUST-03359,Female,VIP,Asia,South Korea,Books & Media,Software,VPN Premium 1Y,32,1,30%,23,18,5,20.19,8,Standard,14,Credit Card,Delivered
ORD-000056,10/20/2022,2022,10,Q4,Fall,CUST-06306,Male,VIP,North America,USA,Books & Media,Books,The Psychology of Money,19,1,0%,19,12,7,38.46,12,Standard,4,Bank Transfer,Delivered
ORD-000057,6/1/2024,2024,6,Q2,Summer,CUST-07113,Male,Regular,Europe,Italy,Books & Media,Software,VPN Premium 1Y,212,4,25%,636,444,192,30.25,48,Express,13,Debit Card,Delivered
ORD-000058,8/31/2023,2023,8,Q3,Summer,CUST-03723,Female,VIP,Asia,China,Home & Kitchen,Kitchen Tools,Cutting Board Set,126,5,10%,566,420,146,25.8,6,Economy,21,Debit Card,Delivered
ORD-000059,1/11/2024,2024,1,Q1,Winter,CUST-05057,Male,Regular,Asia,South Korea,Clothing,Footwear,Vans Old Skool,85,1,20%,68,39,29,42.11,10,Economy,14,Google Pay,Cancelled
ORD-000060,4/12/2024,2024,4,Q2,Spring,CUST-03773,Female,Regular,Europe,Italy,Home & Kitchen,Appliances,Microwave Oven,57,2,25%,85,52,34,39.39,22,Express,9,Cash on Delivery,Delivered
ORD-000061,1/15/2024,2024,1,Q1,Winter,CUST-02863,Male,Premium,North America,Mexico,Books & Media,Software,Antivirus Pro,164,6,25%,739,701,38,5.1,9,Standard,7,Credit Card,Processing
ORD-000062,11/20/2022,2022,11,Q4,Fall,CUST-03000,Female,New,North America,Canada,Electronics,Tablets,Samsung Galaxy Tab S9,809,1,0%,809,375,434,53.62,69,Overnight,5,Bank Transfer,Delivered
ORD-000063,8/7/2022,2022,8,Q3,Summer,CUST-04764,Female,Regular,Europe,Italy,Clothing,Men's Wear,Classic T-Shirt,79,2,20%,126,100,26,20.51,27,Express,9,Cash on Delivery,Returned
ORD-000064,1/24/2024,2024,1,Q1,Winter,CUST-02631,Female,VIP,Middle East,Jordan,Home & Kitchen,Kitchen Tools,Storage Container Set,36,5,25%,136,133,3,2.19,73,Overnight,11,Credit Card,Delivered
ORD-000065,4/12/2021,2021,4,Q2,Spring,CUST-05967,Female,Regular,Asia,Japan,Beauty & Health,Supplements,Collagen Peptides,34,2,10%,62,31,30,49.26,13,Standard,11,Cash on Delivery,Delivered
ORD-000066,3/1/2023,2023,3,Q1,Spring,CUST-01273,Female,Regular,Europe,UK,Books & Media,Software,Microsoft Office 365,166,1,40%,100,87,12,12.47,10,Standard,12,Credit Card,Delivered
ORD-000067,2/27/2022,2022,2,Q1,Winter,CUST-07755,Female,Regular,Middle East,Kuwait,Home & Kitchen,Kitchen Tools,Mixing Bowl Set,39,1,0%,39,27,12,31.41,92,Overnight,11,Bank Transfer,Delivered
ORD-000068,6/22/2024,2024,6,Q2,Summer,CUST-01114,Female,New,Asia,Singapore,Electronics,Tablets,iPad Pro 12.9,284,1,5%,270,201,69,25.47,55,Overnight,22,Credit Card,Returned
ORD-000069,5/30/2023,2023,5,Q2,Spring,CUST-05997,Male,Regular,North America,Mexico,Home & Kitchen,Kitchen Tools,Cutting Board Set,94,3,50%,141,206,-65,-46.42,34,Express,8,Bank Transfer,Returned
ORD-000070,1/7/2023,2023,1,Q1,Winter,CUST-02111,Female,VIP,Middle East,Jordan,Home & Kitchen,Kitchen Tools,Mixing Bowl Set,31,8,0%,246,181,65,26.61,6,Standard,15,Debit Card,Processing
ORD-000071,7/29/2024,2024,7,Q3,Summer,CUST-01268,Female,Regular,North America,Canada,Books & Media,Software,Photo Editing Suite,191,1,0%,191,136,54,28.44,10,Economy,7,Apple Pay,Returned
ORD-000072,5/12/2023,2023,5,Q2,Spring,CUST-07947,Female,Regular,Middle East,UAE,Clothing,Women's Wear,Summer Dress,147,1,15%,125,90,35,27.84,4,Economy,8,Bank Transfer,Delivered
ORD-000073,10/14/2022,2022,10,Q4,Fall,CUST-03691,Male,New,Europe,UK,Books & Media,Books,Atomic Habits,34,1,5%,32,25,7,21.4,38,Express,8,Credit Card,Delivered
ORD-000074,8/12/2023,2023,8,Q3,Summer,CUST-05823,Female,Regular,North America,USA,Clothing,Men's Wear,Chino Pants,41,2,0%,83,40,43,51.71,10,Standard,6,PayPal,Delivered
ORD-000075,10/5/2021,2021,10,Q4,Fall,CUST-06038,Male,New,Middle East,Kuwait,Electronics,Laptops,Lenovo ThinkPad X1,1600,1,0%,1600,948,651,40.71,12,Standard,10,Debit Card,Returned
ORD-000076,5/2/2024,2024,5,Q2,Spring,CUST-05983,Male,Regular,Asia,South Korea,Electronics,Smartphones,OnePlus 11,1063,1,20%,850,697,153,18.02,18,Standard,20,PayPal,Delivered
ORD-000077,4/10/2022,2022,4,Q2,Spring,CUST-04523,Female,Regular,Asia,India,Books & Media,Software,VPN Premium 1Y,249,2,30%,348,268,80,23.07,18,Standard,16,Apple Pay,Delivered
ORD-000078,9/26/2024,2024,9,Q3,Fall,CUST-01549,Male,Regular,Middle East,Egypt,Beauty & Health,Supplements,Multivitamin Pack,62,1,15%,53,36,17,32,41,Express,14,Credit Card,Delivered
ORD-000079,9/29/2023,2023,9,Q3,Fall,CUST-07146,Female,Regular,Middle East,UAE,Electronics,Headphones,AirPods Pro,225,4,40%,539,662,-123,-22.83,5,Economy,17,Debit Card,Cancelled
ORD-000080,8/19/2022,2022,8,Q3,Summer,CUST-01941,Female,New,Asia,China,Home & Kitchen,Furniture,Office Chair,381,3,5%,1084,567,518,47.75,10,Standard,21,PayPal,Delivered
ORD-000081,1/11/2023,2023,1,Q1,Winter,CUST-02173,Female,Regular,Middle East,Egypt,Books & Media,Books,Thinking Fast and Slow,38,3,10%,102,52,50,49.04,68,Overnight,9,PayPal,Processing
ORD-000082,8/31/2023,2023,8,Q3,Summer,CUST-05884,Male,Regular,Europe,France,Electronics,Smartphones,Google Pixel 7,494,2,20%,790,579,211,26.74,86,Overnight,14,PayPal,Delivered
ORD-000083,1/3/2022,2022,1,Q1,Winter,CUST-03827,Female,Regular,Asia,South Korea,Books & Media,Books,Atomic Habits,18,5,50%,45,52,-7,-15.44,61,Overnight,13,Debit Card,Processing
ORD-000084,11/23/2022,2022,11,Q4,Fall,CUST-07286,Male,Regular,North America,USA,Books & Media,Software,Photo Editing Suite,173,1,0%,173,90,84,48.39,29,Express,6,Debit Card,Delivered
ORD-000085,9/4/2021,2021,9,Q3,Fall,CUST-04573,Male,VIP,Europe,Spain,Electronics,Smartphones,OnePlus 11,972,2,0%,1945,950,994,51.12,54,Overnight,5,Credit Card,Delivered
ORD-000086,10/3/2023,2023,10,Q4,Fall,CUST-07564,Female,Premium,North America,Canada,Books & Media,Software,Photo Editing Suite,113,1,50%,57,65,-9,-15.06,19,Standard,5,Credit Card,Delivered
ORD-000087,5/25/2023,2023,5,Q2,Spring,CUST-01625,Male,New,Middle East,Egypt,Electronics,Laptops,Lenovo ThinkPad X1,1719,1,30%,1203,814,389,32.34,30,Express,9,Google Pay,Delivered
ORD-000088,9/9/2023,2023,9,Q3,Fall,CUST-02451,Female,VIP,Europe,Spain,Home & Kitchen,Furniture,Bookshelf 5-Tier,203,1,0%,203,107,96,47.32,43,Express,6,Cash on Delivery,Cancelled
ORD-000089,10/13/2023,2023,10,Q4,Fall,CUST-06172,Female,Regular,Middle East,Saudi Arabia,Books & Media,Software,Photo Editing Suite,168,2,40%,201,184,18,8.84,3,Economy,14,Google Pay,Delivered
ORD-000090,6/12/2024,2024,6,Q2,Summer,CUST-06038,Female,VIP,Middle East,Egypt,Home & Kitchen,Kitchen Tools,Non-stick Pan Set,57,1,25%,43,26,16,38.5,15,Standard,8,Google Pay,Returned
ORD-000091,12/15/2022,2022,12,Q4,Winter,CUST-06851,Male,New,Europe,UK,Electronics,Tablets,Huawei MatePad 11,769,1,15%,654,486,168,25.71,3,Economy,10,Bank Transfer,Delivered
ORD-000092,5/25/2024,2024,5,Q2,Spring,CUST-04348,Female,New,Europe,France,Electronics,Laptops,Lenovo ThinkPad X1,2483,5,30%,8690,7533,1157,13.31,96,Overnight,11,Credit Card,Processing
ORD-000093,9/13/2022,2022,9,Q3,Fall,CUST-06436,Male,Premium,Middle East,Kuwait,Home & Kitchen,Appliances,Blender Pro,56,3,50%,83,94,-11,-13.2,30,Express,16,Debit Card,Processing
ORD-000094,1/24/2024,2024,1,Q1,Winter,CUST-06292,Female,New,Asia,Japan,Beauty & Health,Skincare,Hyaluronic Acid,67,2,0%,133,72,61,45.71,40,Express,12,Debit Card,Delivered
ORD-000095,6/8/2023,2023,6,Q2,Summer,CUST-01632,Female,Regular,Asia,China,Home & Kitchen,Furniture,Bookshelf 5-Tier,575,1,15%,488,422,66,13.61,50,Express,14,Google Pay,Returned
ORD-000096,1/8/2022,2022,1,Q1,Winter,CUST-06907,Female,Regular,Asia,China,Books & Media,Books,Deep Work,36,6,40%,131,107,24,18.45,25,Express,15,Apple Pay,Delivered
ORD-000097,4/22/2024,2024,4,Q2,Spring,CUST-04013,Female,VIP,Europe,France,Clothing,Women's Wear,Yoga Pants,56,3,25%,125,87,38,30.63,9,Economy,8,Cash on Delivery,Delivered
ORD-000098,12/13/2022,2022,12,Q4,Winter,CUST-01840,Male,Regular,Middle East,UAE,Beauty & Health,Supplements,Vitamin D3,68,1,40%,41,33,7,18.09,9,Economy,15,Credit Card,Delivered
ORD-000099,11/8/2023,2023,11,Q4,Fall,CUST-01436,Female,New,Europe,Italy,Home & Kitchen,Furniture,Study Desk,157,6,20%,752,449,303,40.31,97,Overnight,11,Debit Card,Delivered
ORD-000100,4/6/2024,2024,4,Q2,Spring,CUST-06702,Male,VIP,Middle East,Saudi Arabia,Beauty & Health,Skincare,Sunscreen SPF50,28,4,15%,95,82,14,14.2,21,Express,14,Apple Pay,Cancelled
ORD-000101,9/6/2023,2023,9,Q3,Fall,CUST-01391,Male,Premium,Asia,India,Electronics,Smartphones,iPhone 14,530,1,0%,530,326,204,38.54,62,Overnight,13,Bank Transfer,Cancelled
ORD-000102,5/7/2022,2022,5,Q2,Spring,CUST-04516,Male,New,North America,Mexico,Beauty & Health,Skincare,Vitamin C Serum,77,6,25%,346,290,56,16.13,42,Express,7,Debit Card,Delivered
ORD-000103,8/10/2023,2023,8,Q3,Summer,CUST-01356,Female,Premium,Middle East,UAE,Books & Media,Software,Microsoft Office 365,173,1,0%,173,105,68,39.3,11,Standard,14,Debit Card,Delivered
ORD-000104,1/25/2022,2022,1,Q1,Winter,CUST-07664,Male,VIP,Middle East,Saudi Arabia,Home & Kitchen,Appliances,Blender Pro,95,3,50%,143,182,-40,-27.7,10,Standard,12,Bank Transfer,Returned
ORD-000105,3/28/2021,2021,3,Q1,Spring,CUST-03540,Female,New,Europe,UK,Clothing,Men's Wear,Classic T-Shirt,90,1,25%,68,42,26,38.53,47,Express,10,Apple Pay,Delivered
ORD-000106,6/24/2023,2023,6,Q2,Summer,CUST-04276,Female,Premium,Middle East,Egypt,Electronics,Laptops,HP Spectre x360,1278,3,0%,3835,2722,1113,29.03,17,Standard,13,Debit Card,Delivered
ORD-000107,9/14/2023,2023,9,Q3,Fall,CUST-05468,Female,Premium,North America,Mexico,Beauty & Health,Supplements,Omega-3 Fish Oil,75,1,30%,53,40,13,24.3,3,Economy,5,Credit Card,Delivered
ORD-000108,10/28/2023,2023,10,Q4,Fall,CUST-06036,Female,Regular,Europe,Italy,Home & Kitchen,Kitchen Tools,Cutting Board Set,56,1,40%,34,38,-4,-10.88,72,Overnight,10,Bank Transfer,Delivered
ORD-000109,11/28/2022,2022,11,Q4,Fall,CUST-02933,Female,Premium,North America,USA,Electronics,Tablets,Lenovo Tab P12,637,3,50%,956,952,4,0.4,2,Economy,4,Apple Pay,Cancelled
ORD-000110,9/12/2023,2023,9,Q3,Fall,CUST-03575,Female,Regular,North America,Mexico,Electronics,Laptops,Lenovo ThinkPad X1,2403,5,15%,10212,7006,3206,31.39,36,Express,9,Credit Card,Delivered
ORD-000111,9/18/2023,2023,9,Q3,Fall,CUST-06685,Female,Regular,Middle East,Jordan,Clothing,Women's Wear,Yoga Pants,69,2,30%,97,67,30,30.67,50,Express,11,Credit Card,Delivered
ORD-000112,1/9/2022,2022,1,Q1,Winter,CUST-03457,Male,Regular,Middle East,Egypt,Electronics,Tablets,Samsung Galaxy Tab S9,1004,2,25%,1506,1504,2,0.11,13,Standard,11,Cash on Delivery,Delivered
ORD-000113,9/22/2022,2022,9,Q3,Fall,CUST-04828,Male,New,Asia,India,Books & Media,Books,Atomic Habits,40,1,0%,40,21,19,47.89,78,Overnight,21,Credit Card,Delivered
ORD-000114,8/21/2024,2024,8,Q3,Summer,CUST-04816,Female,Regular,North America,USA,Home & Kitchen,Furniture,TV Stand,353,2,20%,565,493,73,12.87,82,Overnight,10,Cash on Delivery,Returned
ORD-000115,4/12/2024,2024,4,Q2,Spring,CUST-03834,Female,Regular,Europe,France,Books & Media,Books,The Psychology of Money,23,3,0%,69,48,21,30.06,25,Express,8,Debit Card,Delivered
ORD-000116,1/3/2024,2024,1,Q1,Winter,CUST-06903,Female,New,Europe,Spain,Books & Media,Software,Microsoft Office 365,164,2,40%,197,200,-3,-1.67,25,Express,14,Credit Card,Delivered
ORD-000117,7/17/2023,2023,7,Q3,Summer,CUST-06258,Female,VIP,Asia,Singapore,Electronics,Smartphones,Google Pixel 7,538,2,5%,1023,732,291,28.41,12,Standard,19,PayPal,Processing
ORD-000118,6/24/2022,2022,6,Q2,Summer,CUST-03560,Female,Premium,Asia,South Korea,Beauty & Health,Supplements,Multivitamin Pack,20,3,0%,59,29,30,50.25,4,Economy,14,Apple Pay,Delivered
ORD-000119,10/10/2022,2022,10,Q4,Fall,CUST-03377,Female,New,Middle East,Jordan,Home & Kitchen,Kitchen Tools,Storage Container Set,29,1,5%,28,17,11,37.9,24,Express,7,Apple Pay,Delivered
ORD-000120,9/9/2023,2023,9,Q3,Fall,CUST-05074,Male,Regular,Asia,Singapore,Clothing,Women's Wear,Yoga Pants,113,1,5%,108,77,31,28.53,6,Economy,19,Apple Pay,Returned
ORD-000121,6/18/2024,2024,6,Q2,Summer,CUST-07940,Male,Premium,Asia,Singapore,Beauty & Health,Skincare,Moisturizing Cream,57,7,0%,397,185,212,53.48,4,Economy,10,PayPal,Delivered
ORD-000122,5/11/2024,2024,5,Q2,Spring,CUST-04689,Female,New,Europe,France,Home & Kitchen,Furniture,Bedside Table,104,2,0%,207,129,78,37.89,54,Overnight,13,Bank Transfer,Cancelled
ORD-000123,6/1/2021,2021,6,Q2,Summer,CUST-05096,Male,Regular,Middle East,Saudi Arabia,Electronics,Laptops,MacBook Air M2,1348,6,15%,6877,4995,1882,27.37,38,Express,13,Credit Card,Delivered
ORD-000124,3/11/2023,2023,3,Q1,Spring,CUST-07056,Female,New,Europe,France,Home & Kitchen,Furniture,Study Desk,318,8,40%,1525,1824,-300,-19.66,58,Overnight,14,Debit Card,Returned
ORD-000125,7/31/2024,2024,7,Q3,Summer,CUST-05889,Female,Regular,North America,Canada,Books & Media,Software,Photo Editing Suite,89,5,0%,445,249,195,43.95,90,Overnight,3,Bank Transfer,Cancelled
ORD-000126,10/25/2022,2022,10,Q4,Fall,CUST-02562,Male,VIP,Asia,China,Books & Media,Books,Atomic Habits,28,2,0%,55,33,22,39.28,21,Express,13,Debit Card,Delivered
ORD-000127,2/26/2024,2024,2,Q1,Winter,CUST-06424,Female,New,North America,Mexico,Clothing,Women's Wear,High-Waist Jeans,72,1,40%,43,52,-9,-21.04,36,Express,8,Apple Pay,Delivered
ORD-000128,5/18/2022,2022,5,Q2,Spring,CUST-03285,Female,Regular,Middle East,Kuwait,Clothing,Women's Wear,Yoga Pants,63,2,15%,107,83,25,23.2,4,Economy,10,Debit Card,Delivered
